活動名稱,會議室,會議室日期,會議室時間,會議室時段數
**********,A,99/08/09-99/08/09,08:30-17:30,2
**********,B,96/01/10-96/01/10,13:30-17:30,1
**********,A,100/01/22-100/01/22,08:30-12:30,1
**********,A,99/12/13-99/12/13,13:30-17:30,1
**********,A,99/02/05-99/02/05,08:30-12:30,1
**********,A,97/01/10-97/01/10,11:30-12:30,1
**********,A,100/03/24-100/03/24,18:30-22:30,1
**********,A,96/01/15-96/01/15,08:30-17:30,2
**********,A,100/03/27-100/03/27,08:30-17:30,2
**********,B,99/06/29-99/06/29,08:30-12:30,1
**********,A,99/12/31-100/01/02,13:30-17:30,1
**********,A,99/05/17-99/05/17,08:30-17:30,2
**********,A,99/01/22-99/01/22,18:30-22:30,1
**********,A,98/08/24-98/08/24,13:30-17:30,1
**********,A,96/01/14-96/01/14,00:00-07:30,2
**********,A,99/09/21-99/09/21,08:30-12:30,1
**********,B,98/11/19-98/11/19,13:30-17:30,1
**********,A,100/03/20-100/03/20,18:30-22:30,1
**********,B,99/07/01-99/07/01,13:30-17:30,1
**********,A,98/10/16-98/10/16,13:30-17:30,1
**********,A,96/02/10-96/02/10,00:00-07:30,2
**********,B,96/04/29-96/04/29,13:30-17:30,1
**********,B,99/08/16-99/08/16,13:30-17:30,1
**********,A,99/06/14-99/06/14,18:30-22:30,1
**********,A,99/04/27-99/04/27,18:30-22:30,1
**********,A,97/03/31-97/04/02,13:30-17:30,1
**********,A,100/03/25-100/03/25,08:30-17:30,2
**********,A,100/03/15-100/03/15,13:30-17:30,1
**********,B,97/01/06-97/01/06,08:30-12:30,1
**********,B,99/03/26-99/03/26,08:30-17:30,2
**********,B,99/04/01-99/04/01,08:30-17:30,2
**********,A,99/04/13-99/04/14,08:30-17:30,4
**********,A,100/01/01-100/01/02,08:30-22:30,6
**********,A,99/10/14-99/10/14,08:30-12:30,1
**********,A,99/06/17-99/06/17,13:30-17:30,1
**********,A,99/08/17-99/08/17,08:30-12:30,1
**********,A,99/03/28-99/03/28,18:30-22:30,1
**********,A,97/01/06-97/01/06,13:30-17:30,1
**********,A,96/02/11-96/02/11,00:00-03:30,1
**********,A,98/10/07-98/10/07,08:30-17:30,2
**********,B,98/10/17-98/10/17,13:30-22:30,2
**********,A,99/03/24-99/03/25,08:30-12:30,2
**********,A,98/10/06-98/10/06,18:30-22:30,1
**********,A,98/12/17-98/12/17,03:30-07:30,1
**********,A,97/11/08-97/11/08,08:30-12:30,1
**********,A,99/08/18-99/08/18,08:30-12:30,1
**********,A,99/03/05-99/03/05,13:30-17:30,1
**********,B,99/01/05-99/01/05,18:30-22:30,1
**********,B,99/08/19-99/08/19,08:30-12:30,1
**********,B,97/03/08-97/03/08,13:30-17:30,1
**********,A,99/01/27-99/01/27,08:30-17:30,2
**********,A,98/08/08-98/08/08,13:30-17:30,1
**********,B,99/08/27-99/08/27,08:30-17:30,2
**********,A,99/01/29-99/01/29,08:30-17:30,2
**********,A,98/12/03-98/12/03,08:30-17:30,2
**********,A,100/12/15-100/12/15,08:30-17:30,2
**********,A,99/09/13-99/09/13,08:30-22:30,3
**********,A,98/12/09-98/12/09,00:00-03:30,1
**********,A,96/01/14-96/01/14,13:30-22:30,2
**********,A,98/05/07-98/05/07,08:30-17:30,2
**********,B,100/11/12-100/11/12,08:30-17:30,2
**********,A,99/08/26-99/08/26,08:30-17:30,2
**********,A,98/10/13-98/10/13,13:30-17:30,1
**********,A,99/04/28-99/04/28,18:30-22:30,1
**********,A,98/12/02-98/12/02,13:30-17:30,1
**********,B,99/12/17-99/12/17,08:30-17:30,2
**********,B,100/04/15-100/04/15,13:30-17:30,1
**********,A,98/10/21-98/10/21,18:30-22:30,1
**********,A,98/08/31-98/08/31,17:30-23:00,1
**********,A,99/05/16-99/05/16,08:30-22:30,3
**********,A,98/07/21-98/07/21,13:30-17:30,1
**********,A,100/01/04-100/01/04,13:30-17:30,1
**********,B,100/11/11-100/11/11,08:30-12:30,1
**********,A,99/12/15-99/12/15,18:30-22:30,1
**********,B,96/10/24-96/10/24,13:30-17:30,1
**********,B,100/01/15-100/01/15,18:30-22:30,1
**********,A,100/03/23-100/03/23,18:30-22:30,1
**********,A,99/02/28-99/02/28,08:30-17:30,2
**********,A,99/09/20-99/09/20,18:30-22:30,1
**********,A,99/08/18-99/08/18,00:00-03:30,1
**********,A,100/01/16-100/01/16,18:30-22:30,1
**********,B,100/04/15-100/04/15,18:30-22:30,1
**********,A,99/06/14-99/06/14,13:30-17:30,1
**********,A,99/04/27-99/04/27,08:30-12:30,1
**********,A,100/04/13-100/04/13,08:30-17:30,2
**********,A,100/01/23-100/01/23,18:30-22:30,1
**********,A,98/10/16-98/10/16,08:30-12:30,1
**********,A,99/03/04-99/03/04,13:30-17:30,1
**********,B,99/10/05-99/10/05,08:30-12:30,1
**********,A,99/07/08-99/07/09,08:30-17:30,4
**********,A,98/10/13-98/10/13,18:30-22:30,1
**********,A,97/07/28-97/07/28,08:30-17:30,2
**********,A,100/03/18-100/03/18,08:30-17:30,2
**********,B,99/11/04-99/11/04,08:30-12:30,1
**********,A,99/12/07-99/12/07,18:30-22:30,1
**********,B,98/09/03-98/09/03,08:30-12:30,1
**********,A,99/10/07-99/10/07,13:30-17:30,1
**********,A,99/08/25-99/08/25,08:30-12:30,1
**********,A,100/09/02-100/09/02,18:30-22:30,1
**********,A,100/03/11-100/03/11,13:30-17:30,1
**********,A,100/03/26-100/03/26,08:30-12:30,1
**********,A,98/11/04-98/11/04,08:30-17:30,2
**********,A,99/04/26-99/04/26,08:30-22:30,3
**********,A,98/12/08-98/12/08,18:30-22:30,1
**********,A,100/10/15-100/10/15,13:30-17:30,1
**********,A,98/11/15-98/11/15,08:30-22:30,3
**********,A,99/01/23-99/01/23,08:30-17:30,2
**********,A,98/12/09-98/12/09,13:30-17:30,1
**********,A,99/10/07-99/10/07,08:30-12:30,1
**********,A,98/10/23-98/10/23,08:30-12:30,1
**********,A,99/03/27-99/03/28,08:30-17:30,4
**********,A,98/11/13-98/11/13,13:30-17:30,1
**********,A,99/03/03-99/03/03,08:30-17:30,2
**********,A,98/08/07-98/08/07,13:30-17:30,1
**********,A,98/09/26-98/09/26,08:00-12:30,1
**********,B,99/09/09-99/09/09,13:30-17:30,1
**********,B,100/01/16-100/01/16,08:30-12:30,1
**********,A,96/10/26-96/10/26,13:30-17:30,1
**********,A,100/03/09-100/03/09,13:30-17:30,1
**********,B,99/09/14-99/09/14,13:30-17:30,1
**********,A,96/07/01-96/07/01,08:30-12:30,1
**********,A,98/08/09-98/08/09,08:30-12:30,1
**********,A,99/12/17-99/12/17,18:30-22:30,1
**********,B,98/09/01-98/09/01,08:30-12:30,1
**********,A,96/07/01-96/07/01,13:30-17:30,1
**********,A,98/09/12-98/09/12,13:30-17:30,1
**********,A,99/02/25-99/02/25,13:30-17:30,1
**********,A,99/03/23-99/03/23,18:30-22:30,1
**********,A,98/11/16-98/11/17,08:30-17:30,4
**********,B,99/10/05-99/10/05,00:00-07:30,2
**********,B,99/12/06-99/12/06,13:30-17:30,1
**********,A,99/04/19-99/04/19,18:30-22:30,1
**********,A,99/09/12-99/09/12,18:30-22:30,1
**********,A,98/12/21-98/12/21,13:30-17:30,1
**********,A,99/01/17-99/01/17,13:30-17:30,1
**********,B,99/06/15-99/06/15,08:30-17:30,2
**********,A,98/12/10-98/12/10,00:00-03:30,1
**********,B,98/09/02-98/09/02,08:30-12:30,1
**********,A,100/03/09-100/03/09,08:30-12:30,1
**********,A,100/04/15-100/04/15,08:30-12:30,1
**********,A,98/12/10-98/12/10,08:30-17:30,2
**********,A,98/11/20-98/11/20,08:30-17:30,2
**********,B,98/10/08-98/10/08,13:30-17:30,1
**********,A,100/03/24-100/03/24,08:30-12:30,1
**********,A,98/08/31-98/08/31,13:00-17:30,1
**********,A,100/04/14-100/04/14,13:30-17:30,1
**********,A,99/08/17-99/08/17,13:30-17:30,1
**********,A,99/08/17-99/08/17,18:30-22:30,1
**********,A,99/03/29-99/03/29,08:30-12:30,1
**********,B,99/01/06-99/01/06,08:30-17:30,2
**********,A,99/04/20-99/04/21,08:30-17:30,4
**********,A,99/12/08-99/12/08,08:30-12:30,1
**********,A,99/12/07-99/12/07,08:30-17:30,2
**********,A,99/10/16-99/10/16,00:00-07:30,2
**********,A,98/07/14-98/07/14,13:30-17:30,1
**********,B,98/07/17-98/07/17,13:30-17:30,1
**********,A,98/11/12-98/11/12,08:30-12:30,1
**********,A,99/12/06-99/12/06,18:30-22:30,1
**********,A,99/10/23-99/10/23,08:30-17:30,2
**********,B,99/09/20-99/09/20,18:30-22:30,1
**********,B,98/10/23-98/10/23,13:30-17:30,1
**********,A,96/01/27-96/01/27,08:30-17:30,2
**********,A,99/12/01-99/12/01,13:30-17:30,1
**********,A,100/11/20-100/11/20,13:30-17:30,1
**********,A,100/12/15-100/12/15,18:30-22:30,1
**********,B,99/11/13-99/11/13,08:30-12:30,1
**********,A,97/01/20-97/01/23,13:30-17:30,1
**********,A,98/10/07-98/10/07,18:30-22:30,1
**********,A,99/08/24-99/08/24,08:30-17:30,2
**********,A,99/04/27-99/04/27,13:30-17:30,1
**********,B,100/03/28-100/03/29,08:30-17:30,4
**********,A,100/12/14-100/12/14,18:30-22:30,1
**********,A,100/04/11-100/04/11,08:30-12:30,1
**********,A,99/04/25-99/04/25,08:30-17:30,2
**********,A,99/07/01-99/07/01,08:30-12:30,1
**********,A,96/03/10-96/03/11,08:30-17:30,4
**********,B,98/11/11-98/11/11,18:30-22:30,1
**********,B,97/03/08-97/03/08,18:30-22:30,1
**********,A,97/01/22-97/01/22,13:30-17:30,1
**********,A,100/09/03-100/09/03,00:00-03:30,1
**********,A,100/09/05-100/09/05,18:30-22:30,1
**********,B,99/11/30-99/11/30,18:30-22:30,1
**********,B,99/03/01-99/03/01,08:30-17:30,2
**********,B,96/01/15-96/01/15,13:30-17:30,1
**********,A,99/05/15-99/05/15,08:30-12:30,1
**********,B,96/10/26-96/10/26,08:30-12:30,1
**********,B,96/02/10-96/02/10,08:30-22:30,3
**********,A,99/05/24-99/05/24,13:30-17:30,1
**********,B,97/11/29-97/12/02,08:30-17:30,2
**********,B,98/11/18-98/11/18,08:30-17:30,2
**********,A,99/12/01-99/12/01,08:30-12:30,1
**********,B,99/12/31-99/12/31,18:30-22:30,1
**********,B,,08:30-17:30,2
**********,A,99/04/21-99/04/21,18:30-22:30,1
**********,B,99/02/05-99/02/05,13:30-17:30,1
**********,A,99/11/21-99/11/21,03:30-07:30,1
**********,A,99/10/06-99/10/06,08:30-12:30,1
**********,A,99/08/23-99/08/23,18:30-22:30,1
**********,A,99/07/18-99/07/18,08:30-17:30,2
**********,B,99/04/18-99/04/18,08:30-17:30,2
**********,A,99/05/15-99/05/15,13:30-22:30,2
**********,A,100/10/14-100/10/14,18:30-22:30,1
**********,A,98/12/09-98/12/09,08:30-12:30,1
**********,B,100/03/19-100/03/20,08:30-17:30,4
**********,A,98/08/08-98/08/08,08:30-12:30,1
**********,A,98/12/09-98/12/09,18:30-22:30,1
**********,A,100/01/15-100/01/15,08:30-17:30,2
**********,A,100/04/14-100/04/14,08:30-12:30,1
**********,A,99/01/15-99/01/15,18:30-22:30,1
**********,A,96/01/14-96/01/14,08:30-12:30,1
**********,A,100/03/27-100/03/27,17:30-18:30,1
**********,A,100/09/03-100/09/05,08:30-17:30,6
**********,A,99/05/18-99/05/18,08:30-17:30,2
**********,A,99/05/03-99/05/03,00:00-00:40,1
**********,B,99/04/25-99/04/25,00:00-03:30,1
**********,A,98/04/02-98/04/02,13:30-17:30,1
**********,A,98/11/23-98/11/23,08:30-12:30,1
**********,A,99/04/23-99/04/23,08:30-12:30,1
**********,A,99/02/05-99/02/05,03:30-07:30,1
**********,B,98/10/19-98/10/21,08:30-17:30,6
**********,A,99/03/05-99/03/05,08:30-12:30,1
**********,A,100/01/24-100/01/24,08:30-17:30,2
**********,A,98/07/28-98/07/28,13:30-17:30,1
**********,A,99/06/25-99/06/25,18:30-22:30,1
**********,A,99/05/05-99/05/05,18:30-22:30,1
**********,A,,18:30-19:30,1
**********,A,99/12/08-99/12/08,13:30-17:30,1
**********,B,99/06/28-99/06/28,18:30-22:30,1
**********,B,100/01/16-100/01/16,13:30-17:30,1
**********,A,99/12/16-99/12/16,08:30-17:30,2
**********,A,96/04/02-96/04/02,13:30-17:30,1
**********,A,98/10/18-98/10/18,08:30-17:30,2
**********,A,96/10/25-96/10/25,08:30-17:30,2
**********,B,98/07/19-98/07/19,13:30-17:30,1
**********,A,97/03/08-97/03/08,08:30-12:30,1
**********,A,99/09/14-99/09/14,08:30-12:30,1
**********,A,99/12/23-99/12/23,08:30-17:30,2
**********,A,99/03/29-99/03/29,13:30-17:30,1
**********,B,99/04/22-99/04/22,18:30-22:30,1
**********,A,98/11/27-98/11/27,08:30-17:30,2
**********,A,98/10/15-98/10/15,08:30-22:30,3
**********,A,98/11/07-98/11/07,08:30-12:30,1
**********,A,98/07/25-98/07/25,08:00-12:30,1
**********,A,98/08/01-98/08/01,08:30-12:30,1
**********,A,98/08/06-98/08/06,13:30-17:30,1
**********,A,98/10/11-98/10/11,08:30-17:30,2
**********,A,100/10/15-100/10/15,08:30-12:30,1
**********,A,99/09/14-99/09/14,18:30-22:30,1
**********,B,99/08/19-99/08/19,08:30-17:30,2
**********,A,,08:30-17:30,4
**********,A,99/06/30-99/06/30,18:30-22:30,1
**********,A,99/03/04-99/03/04,08:30-12:30,1
**********,A,99/05/04-99/05/04,08:30-17:30,2
**********,A,100/01/03-100/01/03,18:30-22:30,1
**********,A,98/10/14-98/10/14,08:30-17:30,2
**********,B,99/01/16-99/01/16,08:30-12:30,1
**********,A,98/08/05-98/08/05,08:30-17:30,2
**********,A,99/10/04-99/10/04,18:30-22:30,1
**********,A,99/12/06-99/12/06,08:30-12:30,1
**********,A,100/04/16-100/04/16,13:30-17:30,1
**********,A,98/11/22-98/11/22,18:30-22:30,1
**********,A,99/10/16-99/10/16,13:30-17:30,1
**********,A,99/12/31-99/12/31,08:30-12:30,1
